영화 ID,제목,원제,개봉일,줄거리,장르,국가,제작사,포스터 URL,러닝타임,평점,투표수,인기도,감독,주연
602464,영웅,영웅,2022-12-21,"안중근과 독립군 동지들은 자작나무 숲에서 손가락을 잘라 동맹을 맺는다. 조선의 마지막 궁녀 설희는 적진 한복판에서 목숨을 걸고 정보를 빼오는 독립군 정보원이 된다. 마침내 1909년 10월, 안중근은 하얼빈 역에 도착한 이토 히로부미를 사살하고 일본 법정에서 사형 판결을 받는다. 영화는 안중근 의사가 거사를 준비하던 때부터 죽음을 맞이하던 순간까지, 마지막 1년을 그린다.","드라마, 역사, 액션",South Korea,"JK Film, CJ ENM",https://image.tmdb.org/t/p/w500/ty2BX4V4ZBAg2ApG2WMmVYKwB1t.jpg,120,6.6,18,1.6652,윤제균,"정성화, 김고은, 나문희, 조재윤"
1057342,팬픽에서 연애까지,팬픽에서 연애까지,2022-12-22,"남자 한 번 만나본 적 없지만, 팬픽은 기가 막히게 쓰는 대학생 연희!  하지만 편집장이 원하는 진한 19금 작품을 쓰기 위해선 연애가 절실하다는 사실을 뼈저리게 느끼게 된다  마침 매력만점 과 선배 민호가 연희에게 호감을 보이고 드디어 첫사랑을 시작하려나 했는데..?! 무슨 일인지 더 이상 진도가 나가지 않는다..?  이에 연희는 소꿉친구 우영에게 그토록 궁금했던 첫 경험을 알려달라 부탁하는데…","로맨스, 코미디",South Korea,Dream Station,https://image.tmdb.org/t/p/w500/rYXLllrHYQLrHfOm5pX8av3beb7.jpg,89,5.0,1,0.1793,Kang Yoon-seong,"Lee Ji-won, Lee Woo-jin, Lee Jung-won, Choi Nae-in"
1368298,Don‘t cut Nail,Don‘t cut Nail,2022-12-23,,공포,South Korea,Horror BBababam,,10,0.0,0,0.0,,
1155012,Dive Into You,Dive Into You,2022-12-23,,,,,https://image.tmdb.org/t/p/w500/w6MtDkMxbKT1JUeFyfEWMOeqZyH.jpg,0,0.0,0,0.0347,,"장동우, Park Seung-bin, Moon Eui Jin"
1080839,원죄,원죄,2022-12-27,,,,,https://image.tmdb.org/t/p/w500/zIHjSUmnjdsTdFXPb0gqZPmo5O1.jpg,23,10.0,1,0.0818,Choi Soobin,"Oh Dong-jun, Han Hyeon-jun"
848198,젠틀맨,젠틀맨,2022-12-28,"의뢰받은 사건은 100% 처리하는 흥신소 사장 지현수. 의뢰인과 함께 강아지를 찾기 위해 간 어느 펜션에서 괴한의 습격을 받고 쓰러진다. 끊어진 기억, 사라진 의뢰인. 정신을 차려보니 졸지에 납치 사건 용의자로 몰려버렸다. 꼼짝없이 체포되던 중 차 전복사고 후 검사로 오해받은 지현수는  실종된 의뢰인을 찾기 위해 검사로 위장해 수사를 시작한다. 검사들의 검사, 일명 감찰부 미친 X 김화진. 하늘 높은 줄 모르던 그가 좌천의 쓴맛을 보며 지내던 어느 날, 한 납치 사건을 조사하던 중 검사 행세를 하는 지현수와 만나게 된다. 단순한 납치로 여겼던 사건이 자신을 물 먹인 로펌 재벌 권도훈과 관련되어 있음을 알게 된다. 누명을 벗고자 하는 지현수와 권도훈을 잡고 싶은 김화진, 각자의 목표를 위해 손을 잡게 된 두 사람은 거대 로펌 재벌의 추악한 범죄를 파헤치다 전혀 뜻밖의 상황을 맞이하게 되는데...","액션, 범죄",South Korea,"H& Entertainment, 트릭스터, Contents Wavve, Studio Wavve",https://image.tmdb.org/t/p/w500/7LvQFbeED6sUVAVZ6Cet5igqTvs.jpg,123,6.028,18,2.297,Kim Kyoung-won,"주지훈, 박성웅, 최성은, 박혜은"
1090287,속살 유혹 둔덕골 선녀,속살 유혹 둔덕골 선녀,2022-12-29,,,,,https://image.tmdb.org/t/p/w500/qnRGDYTxXCmIhdMBQxn4FsAF0wu.jpg,0,4.0,1,1.084,,"Ahn So-hee, 이수, Yeon Joo, Kang Min-woo"
1059475,희망의 요소,희망의 요소,2022-12-29,남편은 오늘도 아내가 먹지도 않는 아침 밥상을 차리고 청소를 하고 빨래를 한다. 그가 하루에 마주하는 유일한 사람은 아내지만 그녀와의 소통은 잘 이루어지지 않는다. 아내 또한 남편과의 관계에 희망이 없다고 생각한다. 대학교 교직원인 그녀는 다른 남자를 만나고 있는 듯하다.,로맨스,South Korea,Film Dabin,https://image.tmdb.org/t/p/w500/yTJZptvYbKaxzRc5HvxqTgn3nWn.jpg,83,0.0,0,0.1228,Lee Weon-young,"Lee Seung-hun, Park Seo-eun"
1054399,이태석,이태석,2022-12-29,"아프리카 수단에 자신의 모든 것을 헌신한 故 이태석 신부. 여전히 그곳에 남아 있는 그의 마지막 발자취를 따라가다!  가난과 전쟁으로 아무런 희망조차 없었던 남수단 톤즈의 아버지이자, 의사, 선생님, 지휘자, 건축가였던 쫄 리(Jhon Lee) 신부님, 이태석. 오랜 내전 속에서 분노와 증오, 가난과 질병으로 얼룩진 수단에서 모든 것을 바쳐 그들을 사랑했던 헌신적인 이태석 신부의 발자취가 여전히 그곳에 남아 있다. 메마른 땅 톤즈에 여전히 생생하게 살아 있는 진정한 이태석의 마지막 이야기를 만나다!",다큐멘터리,South Korea,,https://image.tmdb.org/t/p/w500/xVeehN5KM9sEg165d7W8dZ5zRGK.jpg,82,7.0,1,0.0336,Lee Woo-seok,"Lim Hyung-joo, Lee Tae-seok"
770145,라스트 필름,라스트 필름,2022-12-29,"연극영화과 교수이자 영화감독인 ‘상민’은 학생들에게 영화를 가르치지만 정작 자신은 빚쟁이 때문에 학교에 텐트를 치고 사는 남루한 처지다. 돈 안되는 영화는 그만 두라는 주변의 만류와 죽음마저도 쉽지 않은 답답한 현실 속에 어느 날 갑자기 사채업자 ‘만복’이 나타나 자신의 이야기를 영화로 만들어주면 빚을 전부 갚아주겠다는 거래를 제안한다. 그 후 ‘상민’은 ‘만복’과 동행하며 꿈인지 현실인지 모를 일들을 경험하게 되는데...  가장 해보고 싶었던 어떤 것 ""라스트 필름""",드라마,"France, South Korea","Ozone Film, Dongnyuk Film",https://image.tmdb.org/t/p/w500/1iwzCXyvnqd5w5SyX1Pit9kiASE.jpg,101,5.5,2,0.3192,Jeon Soo-il,장현성
